Hotel,Price,Image
The Grand Empire | Best 4 Star Luxury Hotel in Patna,"₹4,280",https://lh5.googleusercontent.com/p/AF1QipPzPKUHmOzZhIK7oe_h2ZIlouc1vRk5EDbypUKA=s10000
Hotel Mayfair,"₹1,953",https://lh5.googleusercontent.com/p/AF1QipMY8TUzns6VgdPuH_wneTmIzlspNEKjcAo7PTu7=s10000
Hotel Maurya,Not available,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/c6/dc/b8/bedroom-mithila-suite.jpg
Hotel Fortune..,"₹1,564",https://lh5.googleusercontent.com/p/AF1QipNWyDeFAqfBq2Kthls1dJu-846TzxK_4lAUePCA=s10000
Hotel Bodhi Tree - Best Hotel in Patna | Hotels Near Patna junction Railway Station and Patna airport,"₹2,800",https://lh5.googleusercontent.com/p/AF1QipPRpLyqiJRskurJWOUAuhBNgdVxi_TPhcAnNR9V=s10000
Palm Bliss International Hotel,Not available,https://lh5.googleusercontent.com/p/AF1QipPhHrPZKOllXtX2mW02s5EJo2x0yixq59vRah5m=s10000
Hotel Buddha International,"₹1,857",https://lh5.googleusercontent.com/p/AF1QipO0RIajS6YfxCdCkFR0ZJpvk0K9TzJrpnkHxpGn=s10000
Hotel Mani International & Banquet hall | best hotel in Patna,"₹1,509",https://lh5.googleusercontent.com/p/AF1QipMbaAskuXWBV4xlyuHwuc40xghOBzrEfUPb0Xf8=s10000
Hotel Vista Palace,"₹3,360",https://lh5.googleusercontent.com/p/AF1QipMKFeFnr49DriQE_NvOXU22kK5R5IMkwoQ64E8C=s10000
Townhouse OAK Holiday Grand,"₹1,229",https://images.trvl-media.com/lodging/93000000/92750000/92746900/92746859/3d5d466e_z.jpg
"Hotel Virasat Retreat, Opposit Medanta Hospital,Patna","₹1,828",https://lh5.googleusercontent.com/p/AF1QipPSI_k5noZGXgnkKvoy-vB-OZsy9pqvznxzZcD0=s10000
Hotel Patliputra Nirvana,"₹4,660",https://lh5.googleusercontent.com/p/AF1QipOs-WyfDxxIyzbL2bF7eAPA6ttTJZB9S0-bkQX_=s10000
Hotel Sidh Vedantha I Best 4 Star Luxury Hotel in Patna,"₹4,212",https://lh5.googleusercontent.com/p/AF1QipPLkh9QDEdKI1zeQX17LuSQfLEyeZdNGSYZpQme=s10000
Ginger Patna,"₹7,822",https://lh5.googleusercontent.com/p/AF1QipO7gN6QbAh7r31N99yPk9FCxd-FbrEgPRiU0EM6=s10000
The Clovers Inn,"₹1,677",https://lh5.googleusercontent.com/p/AF1QipNNxqgkUoF-d_IzATBHphDkcBLtCjRzT40twWI2=s10000
Naxatra World,"₹2,901",https://lh5.googleusercontent.com/p/AF1QipOBel5hb9jbCYgYurbBmm2N80VZH-H7Gu4YJ_6t=s10000
Citi Inn,"₹2,768",https://lh5.googleusercontent.com/p/AF1QipMQMUw1QUIko4I8bOypnCL_pqvuhd6sZjj_d0Qs=s10000
Alina Resorts,Not available,https://lh5.googleusercontent.com/p/AF1QipP3Qot4nC8AK-Nx_tF6Vs-0x9Etczmo36pMRHLF=s10000
